title,artist,album,originalGenre,bpm,initialKey,volume,speed,beats,age,vocals,instruments,funk,attitude,weight,pitch,melody,energy,voice,sounds,mood,genre,other,dir
Gypsy Woman,Mark Mendes,Mark Mendes,,126,Am,loud,slow,rhythmic,old,vocal,electronic,funky,cute,light,high,melodic,active,female,,calm,trance,,D:\Music\All\Mark Mendes - Gypsy Woman.mp3
Beneath You,Mark Mendez,Mark Mendez,,128,Am,loud,fast,rhythmic,old,electro,electronic,cool,serious,heavy,deep,minimal,active,industrial,,tense,trance,,D:\Music\All\Mark Mendez - Beneath You (Djnicoru).mp3
Friday Coffee,Mango,Mango,,126,D,loud,progressive,rhythmic,modern,electro,electronic,funky,cute,light,high,melodic,active,ambient,soft,positive happy,techno,,D:\Music\All\Mango - Friday Coffee.mp3
Mix,Mark Petrie,Mark Petrie,,,Ebm,loud,slow,rhythmic,new,vocal,electronic,epic,serious,light,high,melodic,active,chorus,balanced,positive uplifting,atmospheric,long,D:\Music\All\Mark Petrie - Mix (Vol. 1).mp3
Mix,Mark Petrie,Mark Petrie,,,Ebm,loud,slow,flowing,new,vocal,electronic,epic,serious,light,high,melodic,active,chorus,balanced,positive uplifting,atmospheric,long,D:\Music\All\Mark Petrie - Mix (Vol. 2).mp3
Puma Punku,Mark Petrie,Mark Petrie,,101,Bbm,loud,fast,rhythmic,new,electro,electronic,epic,serious,heavy,high,melodic,active,ambient,strong,tense uplifting,atmospheric,timeless,D:\Music\All\Mark Petrie - Puma Punku.mp3
Kisses,Mango,Mango,,125,C,loud,progressive,rhythmic,modern,electro,electronic,beautiful,cute,light,high,melodic,active,ambient,balanced,calm,techno,,D:\Music\All\Mango - Kisses.mp3
Move Your Body,Marshall Jefferson,Marshall Jefferson,,123,Em,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,dance,active,male,,positive happy uplifting,house,timeless,D:\Music\All\Marshall Jefferson - Move Your Body.mp3
Dancing In The Streets,Martha and The Vandellas,Martha and The Vandellas,,122,G#m,loud,slow,flowing,old,vocal,guitar,funky,cute,light,high,melodic,passive,female,,positive,rock,,D:\Music\All\Martha and The Vandellas - Dancing In The Streets.mp3
Escape,Marty Simon,Marty Simon,,166,Gm,loud,slow,flowing,old,electro,electronic,epic,serious,heavy,high,melodic,active,ambient,balanced,tense,atmospheric,timeless,D:\Music\All\Marty Simon - Escape (Lexx).mp3
The Search,Marty Simon,Marty Simon,,109,Am,loud,slow,flowing,old,electro,electronic,epic,cute,light,high,melodic,active,ambient,,tense,atmospheric,timeless,D:\Music\All\Marty Simon - The Search (Lexx).mp3
Be Without You,Mary Blige,Mary Blige,,128,Gm,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,active,female,,positive,house,,D:\Music\All\Mary Blige - Be Without You (Moto Blanco).mp3
Butterfly Caught,Massive Attack,Butterfly Caught EP,Other,130,Fm,loud,progressive,rhythmic,modern,vocal,electronic,cool,serious,heavy,deep,melodic,active,male,strong,calm,house,,D:\Music\All\Massive Attack - Butterfly Caught (Octave One).mp3
Butterfly Caught,Massive Attack,Butterfly Caught EP,Other,105,Fm,loud,slow,rhythmic,modern,vocal,electronic,cool,serious,heavy,deep,melodic,passive,male,strong,tense,atmospheric,,D:\Music\All\Massive Attack - Butterfly Caught (Paul Daley).mp3
I Against I,Massive Attack,Massive Attack,,100,G#m,loud,slow,flowing,old,vocal,electronic,cool,serious,heavy,deep,minimal,active,male,,tense,rap,,D:\Music\All\Massive Attack - I Against I (Mos Def).mp3
Gitana,Matteo Marini,Matteo Marini,,130,Am,loud,progressive,rhythmic,modern,electro,electronic,funky,cute,light,deep,dance,active,ambient,balanced,positive uplifting,house techno,timeless,D:\Music\All\Matteo Marini - Gitana.mp3
I Miss U,Matteo Marini,Matteo Marini,,129,Fm,loud,progressive,rhythmic,modern,vocal,electronic,funky,cute,light,high,melodic,active,female,,calm,techno,,D:\Music\All\Matteo Marini - I Miss U.mp3
Proximus,Mauro Picotto,Mauro Picotto,,138,Am,loud,fast,rhythmic,old,vocal,electronic,funky,chill,light,high,melodic,active,female,,positive,trance,,D:\Music\All\Mauro Picotto - Proximus.mp3
Candescence,Mbase,Mbase,,126,Ab,loud,progressive,rhythmic,new,electro,electronic,funky,cute,light,high,melodic,active,ambient,,calm,techno,,D:\Music\All\Mbase - Candescence.mp3
Sunrise,Meizong and Yeeflex,Meizong and Yeeflex,,105,Gm,loud,slow progressive,flowing rhythmic,new,electro,electronic,funky,cute,light,high,melodic,active,ambient,,calm,atmospheric,,D:\Music\All\Meizong and Yeeflex - Sunrise.mp3
Beneath You,Mark Mendez,Mark Mendez,Other,128,Am,loud,progressive,rhythmic,modern,electro,electronic,cool,serious,heavy,high,melodic,active,ambient,strong,calm,techno,,D:\Music\All\Mark Mendez - Beneath You.mp3
Never Be The Same Again,Melanie C,Melanie C,,80,Gm,loud,slow,flowing,old,vocal,electronic,funky,cute,light,high,melodic,passive,female,,calm,pop,,D:\Music\All\Melanie C - Never Be The Same Again.mp3
Techno Disco Tool,Mella Dee,Mella Dee,,130,Bbm,loud,fast,flowing,modern,vocal,electronic,funky,cute,light,high,minimal,passive,female,balanced,calm,house,tofix,D:\Music\All\Mella Dee - Techno Disco Tool.mp3
Attention Whore,Melleefresh,Melleefresh,,128,Em,loud,progressive,rhythmic,modern,vocal,electronic,funky,cute naughty,heavy,deep,minimal,active,female,strong,positive happy,house techno,timeless,D:\Music\All\Melleefresh - Attention Whore (Deadmau5).mp3
Hey Baby,Melleefresh,Melleefresh,,128,Eb,loud,progressive,rhythmic,new,vocal,electronic,funky,naughty,heavy,deep,dance,active,female,,tense,house techno,timeless,D:\Music\All\Melleefresh - Hey Baby (Deadmau5).mp3
Beautiful Days,Melosense,Melosense,,128,D,loud,progressive,rhythmic,new,vocal,electronic,funky,cute,light,deep,melodic,active,female,balanced,positive happy,house techno,timeless,D:\Music\All\Melosense - Beautiful Days (Stratos Messinis).mp3
Traverse,Meizong Yeeflex,Meizong Yeeflex,,87,Eb,loud,fast,rhythmic,new,electro,electronic,funky,cute,light,high,melodic,active,ambient,balanced,positive,dnb,,D:\Music\All\Meizong Yeeflex - Traverse.mp3
Release Me,Memoryman,Memoryman,,124,Em,loud,progressive,rhythmic,new,vocal,electronic,cool,cute,heavy,deep,melodic,active,female,strong,positive,house,,D:\Music\All\Memoryman - Release Me (Rogue D).mp3
Time To Pretend,Mgmt,Mgmt,,101,D,loud,slow,flowing,old,vocal,electronic,funky,cute,light,high,melodic,passive,male,,calm,pop,,D:\Music\All\Mgmt - Time To Pretend.mp3
Dance Track,Memoryman,Memoryman,,120,Bm,loud,progressive,rhythmic,new,vocal,electronic,funky,neutral,heavy,deep,minimal,passive,male,balanced,calm,house,,D:\Music\All\Memoryman - Dance Track (Rogue D).mp3
Borderline,Michael Gray,Michael Gray,,126,G#m,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,passive,female,,positive,house,,D:\Music\All\Michael Gray - Borderline (Shelley Poole).mp3
Westbalkon,Marc Depulse,Marc Depulse,,115,Am,quiet,slow,rhythmic,modern,vocal,electronic,funky,cute,light,high,melodic,active,male,balanced,calm uplifting,techno,tofix,D:\Music\All\Marc Depulse - Westbalkon (Boe Alex).mp3
Dont Stop Til You Get Enough,Michael Jackson,Michael Jackson,,119,B,loud,fast,flowing,old,vocal,electronic,funky,cute,light,high,melodic,active,male,,positive happy,pop,,D:\Music\All\Michael Jackson - Dont Stop Til You Get Enough.mp3
You Rock My World,Michael Jackson,Michael Jackson,Other,190,Em,loud,slow,flowing,old,vocal,electronic,funky,cute,light,high,melodic,active,male,balanced,calm,pop,,D:\Music\All\Michael Jackson - You Rock My World.mp3
To Be Love,Michael Simon,Michael Simon,,128,Fm,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,dance,active,female,,positive happy uplifting,house,timeless,D:\Music\All\Michael Simon - To Be Love (Robbie Riveras).mp3
Solex,Michael Woods,Michael Woods,,135,F#m,loud,fast,rhythmic,old,vocal,electronic,funky,cute,heavy,high,melodic,active,female,,tense,trance,timeless,D:\Music\All\Michael Woods - Solex.mp3
Something Special,Miguel Campbell,Miguel Campbell,,123,Gm,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,passive,female,,calm,house,,D:\Music\All\Miguel Campbell - Something Special.mp3
Black Blue,Miike Snow,Miike Snow,,87,Bbm,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,active,male,balanced,positive,dnb,,D:\Music\All\Miike Snow - Black Blue (Netsky).mp3
Black Blue,Miike Snow,Miike Snow,,87,Bbm,loud,fast,rhythmic,new,vocal,electronic,,cute,light,,melodic,active,male,,positive happy,dnb,,D:\Music\All\Miike Snow - Black Blue.mp3
Love Today,Mika,Life In Cartoon Motion,Other,125,B,loud,fast,flowing,old,vocal,electronic,funky,cute,light,high,melodic,active,male,balanced,positive,pop,,D:\Music\All\Mika - Love Today.mp3
Love Spy,Mike Mareen,Mike Mareen,,126,Em,loud,slow,flowing,old,vocal,electronic,funky,cute,light,high,dance,active,male female,,positive,techno pop,,D:\Music\All\Mike Mareen - Love Spy.mp3
Down By The River,Milky Chance,Milky Chance,,118,C#m,loud,slow,flowing,new,vocal,electronic,funky,serious,heavy,high,melodic,passive,male,,calm,techno pop,,D:\Music\All\Milky Chance - Down By The River (Flicflac).mp3
Stardust,Mindset,Mindset,Other,125,A,loud,progressive,rhythmic,modern,vocal,electronic,beautiful,cute,light,high,melodic,active,female,soft,calm,techno,,D:\Music\All\Mindset - Stardust.mp3
Lovin You,Minnie Riperton,Minnie Riperton,,124,Bm,loud,slow,flowing,old,vocal,electronic,beautiful,cute,light,high,melodic,active,female,balanced,positive,atmospheric,,D:\Music\All\Minnie Riperton - Lovin You.mp3
Loving You,Minnie Riperton,Minnie Riperton,,75,F#m,loud,slow,flowing,classy,vocal,acoustic,beautiful,cute,light,high,melodic,passive,female,gentle,sad,atmospheric pop,,D:\Music\All\Minnie Riperton - Loving You.mp3
Life Of Sin,Mitis,Mitis,,128,Eb,loud,progressive,rhythmic,new,electro,electronic,funky,cute,light,high,melodic,active,ambient,balanced,positive happy,house,timeless,D:\Music\All\Mitis - Life Of Sin.mp3
The Weekend,Michael Gray,Michael Gray,,127,Em,loud,progressive,rhythmic,new,vocal,electronic,funky,cute,light,high,dance,active,female,balanced,positive happy uplifting,house techno,timeless,D:\Music\All\Michael Gray - The Weekend.mp3
Woodpeckers Love Affair (Sascha Braemer Dan Caster),Miyagi,Miyagi,,122,C#m,loud,progressive,rhythmic,new,electro,electronic,funky,cute,heavy,high,melodic,active,ambient,balanced,positive uplifting,house techno,timeless,D:\Music\All\Miyagi - Woodpeckers Love Affair (Sascha Braemer Dan Caster).mp3
Disco Lies,Moby,Moby,,130,Am,loud,fast,rhythmic,new,vocal,electronic,funky,serious,heavy,high,dance,active,female,,positive,house,timeless,D:\Music\All\Moby - Disco Lies (Freemasons).mp3
80 - 90s,Mix,Mix,Blues,,Am,loud,slow,flowing,classy,vocal,electronic,funky,cute,light,high,melodic,active,male female,balanced,calm positive,pop,long,D:\Music\All\Mix - 80 - 90s.mp3
Lift Me Up,Moby,Moby,,121,Bm,loud,progressive,flowing,old,vocal,electronic,funky,serious,light,high,melodic,active,male,,positive,techno pop,,D:\Music\All\Moby - Lift Me Up.mp3
Richat,Mark Petrie,Mark Petrie,,79,Ebm,loud,fast,rhythmic,new,vocal,electronic,epic,serious,heavy,high,melodic,active,chorus,strong,tense uplifting,atmospheric,timeless,D:\Music\All\Mark Petrie - Richat.mp3
Porcelain,Moby,Cafe del Mar,,95,Fm,loud,progressive,rhythmic,old,vocal,electronic,funky,cute,light,high,melodic,passive,male,,positive,house,,D:\Music\All\Moby - Porcelain (Cafe Del Mar).mp3
We Are All Made Of Stars,Moby,Moby,,112,Am,loud,slow,flowing,old,vocal,electronic,funky,cute,light,high,melodic,passive,male,,calm,techno pop,,D:\Music\All\Moby - We Are All Made Of Stars.mp3
Natural Blues,Moby,Play,Electronica,108,Ebm,loud,slow,flowing,modern,vocal,electronic,beautiful,serious,heavy,high,melodic,passive,male,balanced,calm,pop,,D:\Music\All\Moby - Natural Blues.mp3
I Am X,Moguai,Moguai,Other,127,G#m,loud,fast,rhythmic,old,vocal,electronic,cool,serious,heavy,high,melodic,active,male,strong,tense,techno,tofix,D:\Music\All\Moguai - I Am X.mp3
Your Love,Moko,Moko,,122,Cm,loud,progressive,flowing,new,vocal,electronic,funky,cute,light,high,melodic,active,female,,calm,techno pop,,D:\Music\All\Moko - Your Love.mp3
Chillin,Modjo,Modjo,,125,Ebm,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,dance,active,male,,positive happy uplifting,house,timeless,D:\Music\All\Modjo - Chillin.mp3
Plumbicon,Monolake,Monolake,,130,Am,loud,progressive,rhythmic,new,electro,electronic,cool,serious,heavy,deep,minimal,active,industrial,,tense,techno,timeless,D:\Music\All\Monolake - Plumbicon (Osaka).mp3
Plumbicon,Monolake,Monolake,,128,Am,loud,progressive,rhythmic,new,electro,electronic,cool,serious,heavy,deep,minimal,active,ambient,strong,calm,house,timeless,D:\Music\All\Monolake - Plumbicon.mp3
Cocoon,Moonbeam,Moonbeam,Blues,127,Bbm,loud,progressive,rhythmic,modern,electro,electronic,funky,cute,heavy,high,melodic,active,ambient,,tense,techno,,D:\Music\All\Moonbeam - Cocoon.mp3
Go,Moby,Moby,Blues,127,Em,loud,progressive,rhythmic,modern,vocal,electronic,funky,serious,heavy,high,dance,active,male,balanced,calm,house,timeless,D:\Music\All\Moby - Go.mp3
Dove,Moony,Moony,,127,Bm,loud,fast,rhythmic,old,vocal,electronic,funky,cute,light,high,melodic,passive,female,,calm,pop,,D:\Music\All\Moony - Dove (Moltosugo).mp3
Dove,Moony,Moony,,127,Bm,loud,fast,flowing,old,vocal,electronic,funky,cute,light,high,melodic,passive,female,,calm,pop,,D:\Music\All\Moony - Dove.mp3
After The Sunrise,Mossy,Mossy,,128,E,loud,progressive,rhythmic,new,electro,electronic,funky,cute,light,high,melodic,active,ambient,,calm,techno,,D:\Music\All\Mossy - After The Sunrise.mp3
Bad Girls,Mia,Vicki Leekx,Dance,72,C#m,loud,slow,flowing,new,vocal,electronic,cool,serious,heavy,high,melodic,active,female,,tense,pop,,D:\Music\All\Mia - Bad Girls.mp3
Never Give Up,Mossy,Mossy,,128,A,loud,progressive,rhythmic,modern,electro,electronic,beautiful,cute,light,high,melodic,active,ambient,balanced,positive happy uplifting,techno,timeless,D:\Music\All\Mossy - Never Give Up.mp3
The Paradise,Mossy,Mossy,,128,B,loud,progressive,rhythmic,modern,electro,electronic,funky,cute,light,high,melodic,active,ambient,balanced,calm,techno,,D:\Music\All\Mossy - The Paradise.mp3
Ace of Spades,Motorhead,Motorhead,,140,Ebm,loud,fast,flowing,old,vocal,guitar,cool,serious,heavy,high,melodic,active,male,strong,tense,rock,,D:\Music\All\Motorhead - Ace of Spades.mp3
Eng98,Monki,Monki,,124,Cm,loud,progressive,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,active,female,,positive,house,timeless,D:\Music\All\Monki - Eng98 (Extended).mp3
Froschroom,Mouse on Mars,Mouse on Mars,,127,F#m,loud,progressive,rhythmic,old,electro,electronic,beautiful funky,cute,light,high,melodic,active,ambient,balanced,calm uplifting,techno,timeless,D:\Music\All\Mouse on Mars - Froschroom.mp3
Saturday Night (Dj Crack),Mouse on Mars,Mouse on Mars,,142,G#m,loud,fast,rhythmic,old,electro,electronic,funky,cute,light,high,melodic,active,ambient,balanced,positive happy uplifting,techno,timeless,D:\Music\All\Mouse on Mars - Saturday Night (Dj Crack).mp3
Home,Mount Dreams,Mount Dreams,,119,Em,loud,slow,flowing,new,vocal,electronic,beautiful funky,cute,light,high,melodic,passive,male,,sad,chillout pop,timeless,D:\Music\All\Mount Dreams - Home (Anatomy).mp3
Maria Callas La Divina La Flauta Magica,Mozart,Mozart,Industrial,102,Dm,loud,slow,flowing,classical,vocal,classic,beautiful,cute,light,high,melodic,active,female,balanced,positive happy uplifting,atmospheric,timeless,D:\Music\All\Mozart - Maria Callas La Divina La Flauta Magica.mp3
Sweet Smoke,Mr Scruff,Mr Scruff,,127,C,loud,fast,rhythmic,modern,vocal,electronic,funky,cute,light,high,melodic,active,ambient,balanced,positive happy uplifting,house,timeless,D:\Music\All\Mr Scruff - Sweet Smoke.mp3
Prodigy Vs Enya,Mtv Mash,Mtv Mash,,135,Bbm,loud,fast,rhythmic,modern,vocal,electronic,funky,cute,heavy,deep,melodic,active,female,strong,positive happy uplifting,techno,timeless,D:\Music\All\Mtv Mash - Prodigy Vs Enya (Smack My Bitch Up).mp3
Spectre,Mulder,Mulder,,125,Gm,loud,progressive,rhythmic,new,vocal,electronic,funky,chill,light,deep,minimal,passive,ambient,balanced,positive,house,,D:\Music\All\Mulder - Spectre.mp3
LLorando,Mulholland Drive,Mulholland Drive,,108,Dm,loud,slow,flowing,classy old,vocal,acoustic,beautiful,serious,light,high,melodic,passive,female,balanced,sad,atmospheric,,D:\Music\All\Mulholland Drive - LLorando.mp3
Emotions,Musty,Musty,,128,Gb,loud,progressive,rhythmic,new,electro,electronic,funky,cute,light,deep,melodic,active,ambient,balanced,positive uplifting,house techno,timeless,D:\Music\All\Musty - Emotions.mp3
Lost Forever,Muzzy,Muzzy,,88,Gm,loud,fast,rhythmic,new,vocal,electronic,cool epic,serious,light,high,melodic,active,male,strong,positive uplifting,dnb,,D:\Music\All\Muzzy - Lost Forever.mp3
Spectrum,Muzzy,Muzzy,,88,Gm,loud,fast,rhythmic,new,vocal,electronic,cool epic,serious,light,high,melodic,active,male,strong,positive uplifting,dnb,,D:\Music\All\Muzzy - Spectrum.mp3
In My Arms,Mylo,Mylo,Other,120,C,loud,progressive,flowing,modern,vocal,electronic,funky,cute,light,high,melodic,active,male,balanced,positive,techno pop,tofix,D:\Music\All\Mylo - In My Arms.mp3
Ill Whip Ya Head Boy,50 Cent,Get Rich or Die Tryin,,79,F#m,loud,slow,flowing,old,vocal,electronic,cool,serious,heavy,deep,minimal,passive,male,,tense,rap,,D:\Music\All\50 Cent - Ill Whip Ya Head Boy.mp3
I Like It,Narcotic Thrust,Narcotic Thrust,,130,C#m,loud,fast,flowing,old,vocal,electronic,funky,cute,light,high,melodic,active,female,,positive,techno pop,,D:\Music\All\Narcotic Thrust - I Like It.mp3
Horny,Mousse T,Mousse T,,124,G#m,loud,progressive,flowing,modern,vocal,electronic,funky,neutral,light,high,minimal,passive,female,balanced,calm,house,,D:\Music\All\Mousse T - Horny (Blacjack).mp3
Safe From Harm,Narcotic Thrust,Narcotic Thrust,,128,Am,loud,progressive,rhythmic,modern,vocal,electronic,funky,serious,heavy,deep,melodic,passive,female,,tense,house,timeless,D:\Music\All\Narcotic Thrust - Safe From Harm (K Klass).mp3
Happiness Chords,Mossy,Mossy,Other,128,C,loud,progressive,rhythmic,modern,electro,electronic,beautiful,cute,light,high,melodic,active,ambient,soft,calm,techno,,D:\Music\All\Mossy - Happiness Chords.mp3
Saturn Sounds,Nasa,Nasa,,,Em,loud,slow,,new,,,unusual,chill,,,,,ambient,soft,,atmospheric,timeless,D:\Music\All\Nasa - Saturn Sounds (Voyager).mp3
Lifted,Naughty Boy,Naughty Boy,,86,G,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,active,female,balanced,positive happy,dnb,,D:\Music\All\Naughty Boy - Lifted (Emeli Sande Loadstar).mp3
492 Cups To China-1,Nautilis,Nautilis,,167,G#m,loud,slow,flowing,old,electro,electronic,beautiful,serious,heavy,high,melodic,passive,ambient,strong,sad,atmospheric,,D:\Music\All\Nautilis - 492 Cups To China-1.mp3
Safe From Harm,Narcotic Thrust,Narcotic Thrust,,128,Am,loud,progressive,rhythmic,new,vocal,electronic,funky,serious,light,deep,melodic,active,female,strong,positive,house,timeless,D:\Music\All\Narcotic Thrust - Safe From Harm (K - Klass).mp3
Rachesta,Nautilis,Nautilis,,120,Gm,loud,fast,flowing,modern,electro,electronic,beautiful,serious,heavy,high,melodic,passive,industrial,balanced,sad,atmospheric techno,,D:\Music\All\Nautilis - Rachesta.mp3
Just A Dream,Nelly,Brass Knuckles,Rap & Hip-Hop,180,Gb,loud,slow,flowing,modern,vocal,electronic,beautiful,serious,light,deep,melodic,active,male,balanced,calm,pop,,D:\Music\All\Nelly - Just A Dream.mp3
888,Nautilis,Nautilis,,120,G#m,loud,fast,rhythmic,modern,,electronic,cool,serious,heavy,high,melodic,active,industrial,strong,tense,techno,timeless,D:\Music\All\Nautilis - 888.mp3
Look Around,Moonbeam,Moonbeam,,125,Am,loud,fast,rhythmic,old,vocal,electronic,funky,serious,heavy,high,melodic,passive,male,,sad,house,,D:\Music\All\Moonbeam - Look Around (Daniel Mimra).mp3
Memory Lane,Netsky,Netsky,,88,F#m,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,active,male,balanced,positive,dnb,,D:\Music\All\Netsky - Memory Lane.mp3
Your Way,Netsky,Netsky,,88,G#m,loud,fast,rhythmic,new,vocal,electronic,cool,cute,light,,melodic,active,female,balanced,calm,dnb,,D:\Music\All\Netsky - Your Way.mp3
Blue Monday,New Order,New Order,,131,Am,loud,fast,flowing,old,vocal,electronic,funky,cute,light,high,melodic,passive,male,,calm,pop,,D:\Music\All\New Order - Blue Monday.mp3
Jupiter Sounds,Nasa,Nasa,,179,Bbm,loud,slow,,new,,,unusual,chill,,,,,ambient,soft,,atmospheric,timeless,D:\Music\All\Nasa - Jupiter Sounds (Voyager).mp3
Moment 4 Life,Nicki Minaj,Nicki Minaj,,98,E,loud,slow,flowing,new,vocal,electronic,funky,cute,light,high,melodic,active,female,,tense,pop rap,,D:\Music\All\Nicki Minaj - Moment 4 Life (Drake).mp3
Super Bass,Nicki Minaj,Nicki Minaj,,127,B,loud,fast,flowing,new,vocal,electronic,funky,cute,light,high,melodic,active,female,,calm,pop rap,,D:\Music\All\Nicki Minaj - Super Bass.mp3
You Get What You Give,New Radicals,New Radicals,,114,Am,loud,slow,flowing,old,electro,guitar,funky,cute,light,high,melodic,active,male,,positive,pop rock,,D:\Music\All\New Radicals - You Get What You Give.mp3
Push The Feeling On,Nightcrawlers,Nightcrawlers,,122,F#m,loud,progressive,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,passive,male,,positive,house,,D:\Music\All\Nightcrawlers - Push The Feeling On (Doom).mp3
Push The Feeling On,Nightcrawlers,Nightcrawlers,Other,128,Bm,loud,fast,flowing,modern,vocal,electronic,funky,cute,light,high,melodic,active,male,balanced,calm,techno pop,,D:\Music\All\Nightcrawlers - Push The Feeling On (Jca).mp3
Follow You,Nitrous Oxide,Nitrous Oxide,,128,Cm,loud,progressive,rhythmic,new,vocal,electronic,funky,cute,light,deep,melodic,active,female,balanced,positive uplifting,house techno,timeless,D:\Music\All\Nitrous Oxide - Follow You (Stereopole).mp3
Eyes Closed,Netsky,Netsky,,87,Ebm,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,active,female,balanced,positive,dnb,,D:\Music\All\Netsky - Eyes Closed.mp3
Airwaves,Noisestorm,Noisestorm,,128,Am,loud,fast,rhythmic,new,vocal,electronic,funky,cute neutral,light,high,melodic,active,robo,strong,calm,techno,,D:\Music\All\Noisestorm - Airwaves.mp3
Take Me Away,Noisestorm,Noisestorm,,88,B,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,active,female,balanced,positive,dnb,,D:\Music\All\Noisestorm - Take Me Away.mp3
The Human Beinz,Nobody But Me,Nobody But Me,,76,D,loud,fast,rhythmic,classy,vocal,guitar,funky,cute,light,high,melodic,active,male,balanced,positive happy uplifting,pop rock,tofix,D:\Music\All\Nobody But Me - The Human Beinz.mp3
Let's Leave Tomorrow,Netsky,Netsky,,88,C,loud,fast,rhythmic,new,vocal,electronic,beautiful,cute chill,light,high,melodic,active,female,balanced,positive,dnb,,D:\Music\All\Netsky - Let's Leave Tomorrow (Bev Lee Harling).mp3
Infusion,Noisia,Noisia,,86,Gm,loud,fast,rhythmic,new,electro,electronic,cool,neutral,heavy,deep,minimal,active,industrial,strong,tense,dnb,,D:\Music\All\Noisia - Infusion (Black Sun Empire).mp3
Split The Atom,Noisia,Noisia,,125,Gm,loud,fast,rhythmic,new,electro,electronic,cool,neutral,heavy,high,melodic,active,industrial,strong,tense,dnb,,D:\Music\All\Noisia - Split The Atom.mp3
Dustup,Noisia,Noisia,,86,Gm,loud,fast,rhythmic,new,electro,electronic,cool,neutral,heavy,deep,minimal,active,industrial,strong,tense,dnb,,D:\Music\All\Noisia - Dustup.mp3
Make You Mine,Nvoy,Nvoy,,120,Dm,loud,progressive,rhythmic,new,electro,electronic,funky,cute,light,high,melodic,passive,male,,positive,house,,D:\Music\All\Nvoy - Make You Mine.mp3
Thinkin Bout U,Nvoy,Nvoy,,126,F#m,loud,fast,flowing,new,vocal,electronic,funky,cute,light,high,melodic,active,female,,calm,techno,,D:\Music\All\Nvoy - Thinkin Bout U (Vip).mp3
You Are,Nvoy,Nvoy,,121,Em,loud,progressive,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,passive,male,,positive,house,,D:\Music\All\Nvoy - You Are.mp3
Infotain Me,Ochre,Lemodie,,103,Am,loud,slow,flowing,new,electro,electronic,beautiful,cute,light,high,melodic,active,ambient,,calm,atmospheric,timeless,D:\Music\All\Ochre - Infotain Me.mp3
Elbestrasse 36 Frankfurt 2012,Oliver Schories,Oliver Schories,,,Ebm,loud,progressive,rhythmic,new,vocal,electronic,cool funky,cute,light,deep,dance,active,male female,balanced strong,positive,house techno,long tofix timeless,D:\Music\All\Oliver Schories - Elbestrasse 36 Frankfurt 2012 (Kellerwald).mp3
Under The Wire,Oliver Smith,Oliver Smith,,128,G#m,loud,progressive,rhythmic,modern,vocal,electronic,funky,cute,light,high,melodic,active,female,balanced,calm,techno,timeless,D:\Music\All\Oliver Smith - Under The Wire.mp3
Million Voices,Otto Knows,Otto Knows,,126,Eb,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,passive,chorus,,calm,techno,,D:\Music\All\Otto Knows - Million Voices.mp3
CrazyTrain,Ozzy Osbourne,Ozzy Osbourne,,137,A,loud,fast,flowing,old,vocal,guitar,cool,serious,light,high,melodic,passive,male,,positive,rock,,D:\Music\All\Ozzy Osbourne - CrazyTrain.mp3
1983,Paolo Mojo,Paolo Mojo,,130,Ebm,loud,fast,flowing,old,electro,electronic,funky,serious,heavy,high,melodic,active,ambient,strong,tense,trance,,D:\Music\All\Paolo Mojo - 1983.mp3
Massive Attack,Paradise Circus,Paradise Circus,,136,Fm,loud,slow,flowing,old,vocal,electronic,funky,cute,light,high,melodic,passive,female,,sad,chillout atmospheric,timeless,D:\Music\All\Paradise Circus - Massive Attack.mp3
Bailando,Paradisio,Paradisio,,133,C#m,loud,fast,flowing,old,vocal,electronic,funky,cute,light,high,melodic,active,female,,positive happy uplifting,techno pop,timeless,D:\Music\All\Paradisio - Bailando.mp3
Give Up The Funk,Parliament,Parliament,,106,Em,loud,slow,rhythmic,old,vocal,electronic,funky,chill,light,high,melodic,passive,male,,positive,house,,D:\Music\All\Parliament - Give Up The Funk.mp3
No Gravity,Paronator,Paronator,,126,F#m,loud,progressive,rhythmic,new,electro,electronic,cool,serious,light,deep,minimal,active,ambient,balanced,positive uplifting,house techno,timeless,D:\Music\All\Paronator - No Gravity (Tom Middleton).mp3
This Feeling,Noisestorm,Noisestorm,,132,Cm,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,active,robo,balanced,positive,techno,,D:\Music\All\Noisestorm - This Feeling.mp3
