Tags,Name,Link
"new; favorite; house; progressive-house; mid; medium; club; melodic; balanced; calm; modern; balanced; male; quantica","Sugarstarr, Alexander – Hey Sunshine (Antonio Giacca Radio Edit)","https://www.youtube.com/watch?v=7x9RQ2iH3vs&list=PL023kAqWnhehFslT-I870ULMhDxgt9Kvr&index=12"
"new; favorite; house; progressive-house; mid; medium; flowing; melodic; balanced; dreamy; modern; balanced; male; quantica","Route 94 – My Love (ft. Jess Glynne)","https://www.youtube.com/watch?v=BS46C2z5lVE&list=PL023kAqWnhehFslT-I870ULMhDxgt9Kvr&index=13"
"new; favorite; house; progressive-house; mid; high; bouncy; melodic; balanced; dreamy; modern; balanced; female; quantica","Diplo, Sleepy Tom – Be Right There","https://www.youtube.com/watch?v=HIJ5XvZeb-k&list=PL023kAqWnhehFslT-I870ULMhDxgt9Kvr&index=14"
"new; favorite; house; progressive-house; mid; medium; flowing; melodic; balanced; calm; modern; balanced; female; quantica","Icarus – Hiding","https://www.youtube.com/watch?v=WDkyIAZM01M&list=PL023kAqWnhehFslT-I870ULMhDxgt9Kvr&index=15"
"new; favorite; house; progressive-house; mid; high; bouncy; melodic; balanced; uplifting; modern; balanced; female; quantica","Duke Dumont, Gorgon City – Real Life (ft. NAATIONS)","https://www.youtube.com/watch?v=_2R0fQxtWvs&list=PL023kAqWnhehFslT-I870ULMhDxgt9Kvr&index=16"
"new; favorite; house; progressive-house; mid; medium; funky; melodic; balanced; calm; modern; balanced; female; quantica","Billon – Special (ft. Maxine Ashley)","https://www.youtube.com/watch?v=X_pM3n9WXRo&list=PL023kAqWnhehFslT-I870ULMhDxgt9Kvr&index=17"
"new; favorite; house; progressive-house; mid; medium; funky; melodic; balanced; dreamy; funky; balanced; male; quantica","Tim Berg - Seek Bromance (Jerome Price Remix)","https://www.youtube.com/watch?v=DDFv4nemG9M&list=RDDDFv4nemG9M&start_radio=1"
"new; favorite; house; progressive-house; mid; medium; funky; melodic; balanced; calm; modern; balanced; female; quantica","Rahu – Give (ft. Cleah)","https://www.youtube.com/watch?v=4L5m_1BzcNE&list=PL023kAqWnhehFslT-I870ULMhDxgt9Kvr&index=18"
"new; favorite; house; progressive-house; mid; medium; bouncy; melodic; balanced; calm; modern; balanced; female; quantica","MK, Sonny Fodera – One Night (ft. Raphaella)","https://www.youtube.com/watch?v=y1oSnaYbGnA&list=PL023kAqWnhehFslT-I870ULMhDxgt9Kvr&index=19"
"new; favorite; house; progressive-house; mid; medium; flowing; melodic; balanced; calm; modern; balanced; male; quantica","Simon Kidzoo, Nico De Andrea – Close To You","https://www.youtube.com/watch?v=QAgbsvgYSsk&list=PL023kAqWnhehFslT-I870ULMhDxgt9Kvr&index=20"
"new; favorite; house; progressive-house; mid; high; funky; melodic; balanced; positive; modern; balanced; female; quantica","Ferreck Dawn, Joe Stone – Sublime","https://www.youtube.com/watch?v=ZRuoUf9PVu0&list=PL023kAqWnhehFslT-I870ULMhDxgt9Kvr&index=21"
"new; favorite; house; progressive-house; mid; medium; flowing; melodic; balanced; calm; modern; balanced; female; quantica","Peggy Gou – (It Goes Like) Nanana","https://www.youtube.com/watch?v=sCz5y84dwuA&list=PL023kAqWnhehFslT-I870ULMhDxgt9Kvr&index=22"
"new; favorite; house; progressive-house; mid; medium; funky; melodic; balanced; calm; modern; balanced; female; quantica","Petite Meller – Barbaric (Mike Mago Remix)","https://www.youtube.com/watch?v=tGmcDwtLpxE&list=PL023kAqWnhehFslT-I870ULMhDxgt9Kvr&index=23"
"new; favorite; house; progressive-house; mid; medium; funky; melodic; balanced; positive; modern; balanced; female; quantica","Alex Mills – Be Somebody","https://www.youtube.com/watch?v=vA8DZb5q8H8&list=PL023kAqWnhehFslT-I870ULMhDxgt9Kvr&index=24"
